id_alat,tanggal,jam,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,Latitude,Longitude
10344,2025-11-01,00:00:00,0.00,0.00,0.00,0.00,0,0,1,1,0.00,0.00,0.00,0,0,0.00,1,41.39,39.88,12.52,1,-7.599492,109.400081
10344,2025-11-01,00:01:00,0.00,0.00,0.00,0.00,0,1,2,1,0.00,0.00,0.00,0,0,0.00,1,41.41,39.85,12.60,1,-7.599491,109.400055
10344,2025-11-01,00:02:00,0.00,0.00,0.00,0.00,0,2,3,1,0.00,0.00,0.00,0,0,0.00,1,41.31,39.93,12.52,0,-7.599491,109.400079
10344,2025-11-01,00:03:00,0.00,0.00,0.00,0.00,0,3,4,1,0.00,0.00,0.00,1,0,0.00,1,41.26,39.95,12.44,1,-7.599513,109.400090
10344,2025-11-01,00:04:00,0.00,0.00,0.00,0.00,0,4,5,1,0.00,0.00,0.00,0,0,0.00,1,41.31,39.95,12.52,0,-7.599518,109.400071
10344,2025-11-01,00:05:00,0.00,0.00,0.00,0.00,0,5,6,1,0.00,0.00,0.00,0,0,0.00,1,41.26,39.95,12.60,0,-7.599504,109.400075
10344,2025-11-01,00:06:00,0.00,0.00,0.00,0.00,0,6,7,1,0.00,0.00,0.00,0,0,0.00,1,41.26,39.95,12.71,0,-7.599494,109.400055
10344,2025-11-01,00:07:00,0.00,0.00,0.00,0.00,0,7,8,1,0.00,0.00,0.00,0,0,0.00,1,41.22,39.99,12.52,0,-7.599495,109.400100
10344,2025-11-01,00:08:00,0.00,0.00,0.00,0.00,0,8,9,1,0.00,0.00,0.00,0,0,0.00,1,41.21,40.00,12.60,1,-7.599510,109.400114
10344,2025-11-01,00:09:00,0.00,0.00,0.00,0.00,0,9,10,1,0.00,0.00,0.00,0,0,0.00,1,41.27,39.96,12.44,1,-7.599508,109.400095
10344,2025-11-01,00:10:00,0.00,0.00,0.00,0.00,0,10,11,1,0.00,0.00,0.00,0,0,0.00,1,41.28,39.95,12.64,1,-7.599513,109.400105
10344,2025-11-01,00:11:00,0.00,0.00,0.00,0.00,0,11,12,1,0.00,0.00,0.00,0,0,0.00,1,41.31,39.93,12.44,0,-7.599501,109.400096
10344,2025-11-01,00:12:00,0.00,0.00,0.00,0.00,0,12,13,1,0.00,0.00,0.00,0,0,0.00,1,41.31,39.91,12.68,0,-7.599502,109.400118
10344,2025-11-01,00:13:00,0.00,0.00,0.00,0.00,0,13,14,1,0.00,0.00,0.00,0,0,0.00,1,41.39,39.88,12.60,1,-7.599510,109.400090
10344,2025-11-01,00:14:00,0.00,0.00,0.00,0.00,0,14,15,1,0.00,0.00,0.00,0,0,0.00,1,41.39,39.88,12.64,0,-7.599511,109.400093
10344,2025-11-01,00:15:00,0.00,0.00,0.00,0.00,0,15,16,1,0.00,0.00,0.00,0,0,0.00,1,41.43,39.86,12.60,0,-7.599548,109.400100
10344,2025-11-01,00:16:00,0.00,0.00,0.00,0.00,0,16,17,1,0.00,0.00,0.00,0,0,0.00,1,41.49,39.82,12.48,1,-7.599517,109.400104
10344,2025-11-01,00:17:00,0.00,0.00,0.00,0.00,0,17,18,1,0.00,0.00,0.00,0,0,0.00,1,41.53,39.80,12.71,1,-7.599494,109.400116
10344,2025-11-01,00:18:00,0.00,0.00,0.00,0.00,0,18,19,1,0.00,0.00,0.00,0,0,0.00,1,41.44,39.85,12.52,1,-7.599505,109.400125
10344,2025-11-01,00:19:00,0.00,0.00,0.00,0.00,0,19,20,1,0.00,0.00,0.00,0,0,0.00,1,41.50,39.80,12.58,1,-7.599528,109.400124
10344,2025-11-01,00:20:00,0.00,0.00,0.00,0.00,0,20,21,1,0.00,0.00,0.00,0,0,0.00,1,41.60,39.80,12.64,1,-7.599506,109.400123
10344,2025-11-01,00:21:00,0.00,0.00,0.00,0.00,0,21,22,1,0.00,0.00,0.00,0,0,0.00,1,41.51,39.83,12.75,1,-7.599487,109.400105
10344,2025-11-01,00:22:00,0.00,0.00,0.00,0.00,0,22,23,1,0.00,0.00,0.00,0,0,0.00,1,41.34,39.93,12.58,1,-7.599504,109.400106
10344,2025-11-01,00:23:00,0.00,0.00,0.00,0.00,0,23,24,1,0.00,0.00,0.00,0,0,0.00,1,41.34,39.96,12.75,1,-7.599504,109.400105
10344,2025-11-01,00:24:00,0.00,0.00,0.00,0.00,0,24,25,1,0.00,0.00,0.00,0,0,0.00,1,41.31,39.96,12.68,1,-7.599504,109.400097
10344,2025-11-01,00:25:00,0.00,0.00,0.00,0.00,0,25,26,1,0.00,0.00,0.00,0,0,0.00,1,41.23,40.02,12.52,1,-7.599507,109.400089
10344,2025-11-01,00:26:00,0.00,0.00,0.00,0.00,0,26,27,1,0.00,0.00,0.00,0,0,0.00,1,41.23,39.98,12.95,1,-7.599496,109.400087
10344,2025-11-01,00:27:00,0.00,0.00,0.00,0.00,0,27,28,1,0.00,0.00,0.00,0,0,0.00,1,41.32,39.98,12.60,1,-7.599489,109.400102
10344,2025-11-01,00:28:00,0.00,0.00,0.00,0.00,0,28,29,1,0.00,0.00,0.00,0,0,0.00,1,41.27,40.00,12.58,1,-7.599497,109.400092
10344,2025-11-01,00:29:00,0.00,0.00,0.00,0.00,0,29,30,1,0.00,0.00,0.00,0,0,0.00,1,41.18,40.07,12.70,1,-7.599504,109.400079
10344,2025-11-01,00:30:00,0.00,0.00,0.00,0.00,0,30,31,1,0.00,0.00,0.00,0,0,0.00,1,41.15,40.07,12.60,1,-7.599518,109.400069
10344,2025-11-01,00:31:00,0.00,0.00,0.00,0.00,0,31,32,1,0.00,0.00,0.00,0,0,0.00,1,41.08,40.11,12.60,1,-7.599518,109.400053
10344,2025-11-01,00:32:00,0.00,0.00,0.00,0.00,0,32,33,1,0.00,0.00,0.00,0,0,0.00,1,41.04,40.11,12.44,1,-7.599508,109.400063
10344,2025-11-01,00:33:00,0.00,0.00,0.00,0.00,0,33,34,1,0.00,0.00,0.00,0,0,0.00,1,41.08,40.09,12.60,1,-7.599497,109.400086
10344,2025-11-01,00:34:00,0.00,0.00,0.00,0.00,0,34,35,1,0.00,0.00,0.00,0,0,0.00,1,41.14,40.06,12.44,1,-7.599445,109.400129
10344,2025-11-01,00:35:00,0.00,0.00,0.00,0.00,0,35,36,1,0.00,0.00,0.00,0,0,0.00,1,41.14,40.04,12.64,1,-7.599426,109.400121
10344,2025-11-01,00:36:00,0.00,0.00,0.00,0.00,0,36,37,1,0.00,0.00,0.00,0,0,0.00,1,41.07,40.07,12.93,1,-7.599420,109.400091
10344,2025-11-01,00:37:00,0.00,0.00,0.00,0.00,0,37,38,1,0.00,0.00,0.00,0,0,0.00,1,41.09,40.10,12.68,1,-7.599447,109.400058
10344,2025-11-01,00:38:00,0.00,0.00,0.00,0.00,0,38,39,1,0.00,0.00,0.00,0,0,0.00,1,41.02,40.11,12.75,1,-7.599476,109.400051
